Feature_id,Cell_Compartment,Feature,Zprime_without_correction,Zprime_after_correction,Grouping
1,Cell,TotEdge,-0.708330301153859,-0.664245487431786,column-wise
2,Cell,Tot,-0.569104789129619,-0.376372674150906,column-wise
3,Cell,LoQuar,-2.37656656302265,-2.38288259000052,column-wise
4,Cell,MassDisp,-0.78842813441084,-0.751895947500886,column-wise
5,Cell,MaxEdge,0.101969408932572,0.106851689940466,column-wise
6,Cell,Max,0.0791845010162708,0.084347637113766,column-wise
7,Cell,MeanEdge,-0.477096178618876,-0.454619406322921,column-wise
8,Cell,Mean,0.0910463003020099,0.103976202026104,column-wise
9,Cell,Median,-0.0944866668535336,-0.0605091564449638,column-wise
10,Cell,MinEdge,-5.03022780554415,-5.02341067948868,column-wise
11,Cell,Min,-5.4570241739369,-5.39812634119961,column-wise
12,Cell,StdEdge,0.189189917701685,0.200275928653642,column-wise
13,Cell,Std,0.145495901139989,0.160853623548268,column-wise
14,Cell,UpQuar,0.0903157216236116,0.123054991509634,column-wise
15,Cytoplasm,TotEdge,-0.137967233275944,-0.0646419287633333,column-wise
16,Cytoplasm,Tot,-4.17882811212817,-3.84469122463174,column-wise
17,Cytoplasm,LoQuar,-10.523390044425,-10.5808868719334,column-wise
18,Cytoplasm,MassDisp,-0.386916428204146,-0.371341132496333,column-wise
19,Cytoplasm,MaxEdge,0.0919410177739975,0.0846142822224216,column-wise
20,Cytoplasm,Max,0.0479814178910711,0.0737821264206852,column-wise
21,Cytoplasm,MeanEdge,0.0566211948025676,0.0741125146348208,column-wise
22,Cytoplasm,Mean,0.00603820809325217,0.0111358631152655,column-wise
23,Cytoplasm,Median,-0.629427114360537,-0.565935448694932,column-wise
24,Cytoplasm,MinEdge,-4.95504811376311,-5.06755225030513,column-wise
25,Cytoplasm,Min,-5.45898478363399,-5.57305272688234,column-wise
26,Cytoplasm,StdEdge,0.139086754884832,0.133566240523547,column-wise
27,Cytoplasm,Std,0.13379312377079,0.115843543657476,column-wise
28,Cytoplasm,UpQuar,0.00509944255638839,0.0383287105076067,column-wise
29,Nucleus,TotEdge,0.0602811367643979,0.0772750244911685,column-wise
30,Nucleus,Tot,-0.0407008587540656,0.042772682549759,column-wise
31,Nucleus,LoQuar,0.022458574450561,0.00823938614454267,column-wise
32,Nucleus,MassDisp,-0.645661157437841,-0.548359493754829,column-wise
33,Nucleus,MaxEdge,0.0877696513001101,0.0747385233280571,column-wise
